name,restaurant_type,rate,votes,avg_receipt,online_order,table_booking,cuisines_type,area
#FeelTheROLL,Quick Bites,3.4,7.0,200.0,0,0,Fast Food,Bellandur
#L-81 Cafe,Quick Bites,3.9,48.0,400.0,1,0,"Fast Food, Beverages","Byresandra,Tavarekere,Madiwala"
#refuel,Cafe,3.7,,400.0,1,0,"Cafe, Beverages",Bannerghatta Road
'@ Biryani Central,Casual Dining,2.7,135.0,550.0,1,0,"Biryani, Mughlai, Chinese",Marathahalli
'@99,"Takeaway, Delivery",3.4,37.0,200.0,0,0,"Mughlai, Biryani, Chinese, North Indian",Whitefield
'@Italy,Casual Dining,4.1,305.0,700.0,1,0,Italian,Banashankari
'@North Parontha Hut,"Takeaway, Delivery",2.8,40.0,300.0,0,0,North Indian,Indiranagar
1000 B.C,Quick Bites,3.2,49.0,300.0,1,0,"Arabian, Sandwich, Rolls, Burger","Byresandra,Tavarekere,Madiwala"
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,Casual Dining,3.7,41.0,450.0,0,0,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala"
11 to 11 Express Biriyanis,Quick Bites,3.5,22.0,300.0,1,0,"Biryani, Kebab",Electronic City
1131 Bar + Kitchen,"Bar, Casual Dining",4.4,2861.0,1500.0,0,1,"Continental, Asian, Italian, North Indian",Old Airport Road
12th Main - Grand Mercure,Fine Dining,4.1,353.0,2000.0,0,1,"European, Asian","Byresandra,Tavarekere,Madiwala"
1441 Pizzeria,Casual Dining,4.1,119.0,800.0,1,0,"Pizza, Salad",Basavanagudi
1522 - The Pub,Pub,4.2,1731.0,1400.0,1,0,"Chinese, Continental, North Indian",Malleshwaram
154 Breakfast Club,Cafe,4.0,1509.0,900.0,1,1,"Cafe, Continental","Byresandra,Tavarekere,Madiwala"
1722 Urban Bistro,Casual Dining,4.1,218.0,600.0,1,1,"North Indian, Chinese, Fast Food, Biryani","Byresandra,Tavarekere,Madiwala"
18+ Ice Cafe,Cafe,3.5,24.0,550.0,0,0,"Cafe, Fast Food, Chinese, Beverages",Kalyan Nagar
1947,Casual Dining,3.9,620.0,1000.0,0,1,"North Indian, Chinese, Continental",Rajajinagar
1980s Games Cafe,Cafe,3.4,58.0,400.0,1,0,"Cafe, Fast Food",Banashankari
1992 Chats - Space,Quick Bites,3.7,33.0,200.0,1,0,Street Food,Malleshwaram
1Q1,"Casual Dining, Bar",4.3,595.0,2500.0,0,1,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",Brigade Road
1TO3 Kitchen,Delivery,3.1,11.0,800.0,0,0,"North Indian, Chinese, Continental, Italian, South Indian",Marathahalli
2 Statez,Casual Dining,3.7,209.0,600.0,1,0,"Kerala, Seafood, South Indian, North Indian, Chinese",Kalyan Nagar
20 Char - Sterlings MAC Hotel,"Casual Dining, Bar",4.0,419.0,1400.0,1,1,"Chinese, Continental, North Indian, South Indian, Arabian",Indiranagar
20 Feet High,"Casual Dining, Bar",4.0,932.0,1000.0,1,1,"American, Continental, Steak, Salad",Brigade Road
21 C - La Marvella Sarovar Premiere Hotel,Casual Dining,3.6,15.0,1000.0,0,0,Continental,Basavanagudi
24 Carats - The Capitol,Casual Dining,3.1,46.0,1000.0,0,0,"Asian, Continental",Brigade Road
24 Hours Cake Delivery,Delivery,3.3,4.0,700.0,0,0,Bakery,Indiranagar
24 Hours Coffee Drop - La Classic,Cafe,3.4,9.0,800.0,0,0,Cafe,Electronic City
24/7 - The Lalit Ashok Bangalore,Fine Dining,4.0,344.0,3000.0,0,1,"Continental, North Indian, Italian, Chinese",Malleshwaram
24/7 Food Service,"Takeaway, Delivery",2.9,7.0,300.0,1,0,"South Indian, North Indian, Fast Food","Byresandra,Tavarekere,Madiwala"
